N M1 M2 M3
    1000     6.28128719     5.51183319     0.07597923
    1000     7.06584215     6.47752285     0.08400536
    1000     5.76349974     5.06261969     0.12834549
       10     0.00001100     0.00001000     0.00002200
       10     0.00001000     0.00000900     0.00000300
       10     0.00001400     0.00000900     0.00000400
       10     0.00001000     0.00001300     0.00000600
      100     0.00965200     0.00837900     0.00026500
      100     0.00981600     0.00841900     0.00026300
      100     0.00979900     0.00846400     0.00027300
      100     0.00965400     0.00851300     0.00045300
      500     0.84830898     0.82996607     0.01703787
      500     0.77045596     0.74192691     0.00934696
      500     0.69821477     0.65988112     0.01787186
      500     0.80694866     0.66987705     0.00903797
      800     3.41351938     3.34432602     0.03751850
      800     3.29580212     2.52195358     0.04695702
      800     3.80424309     3.87881088     0.05358696
      800     3.58411789     2.77443123     0.03938293
     1500    22.52475740    15.69304850     0.20481873
     1500    27.31940080    15.67650600     0.22386169
     1500    23.22113040    15.05139920     0.21764374
     1500    25.73390960    15.35433960     0.19163513
     2000    66.09053040    36.79911800     0.49105835
     2000    73.12210080    36.54586790     0.54263306
     2000    63.48013310    34.28332520     0.48623657
     2000    60.91882320    33.69305420     0.49493408
  2500   232.29771423    68.87864685     1.20773315
  2500   165.16748047    69.54684448     1.14526367
  2500   157.87133789    69.35504150     0.95495605
  2500   139.57763672    89.11749268     1.53723145
  4000 -9999.00000000 -9999.00000000     6.91790485
  4000 -9999.00000000 -9999.00000000     5.74796677
  4000 -9999.00000000 -9999.00000000     5.02513599
  4000 -9999.00000000 -9999.00000000     4.52607346
  5000 -9999.00000000 -9999.00000000    12.87181664
  5000 -9999.00000000 -9999.00000000    11.39877701
  5000 -9999.00000000 -9999.00000000     9.17221451
  5000 -9999.00000000 -9999.00000000    11.12364197
  6000 -9999.00000000 -9999.00000000    17.30036926
  6000 -9999.00000000 -9999.00000000    18.66452789
  6000 -9999.00000000 -9999.00000000    16.82070923
  6000 -9999.00000000 -9999.00000000    17.76539612
  8000 -9999.00000000 -9999.00000000    48.09309387
  8000 -9999.00000000 -9999.00000000    46.57081604
  8000 -9999.00000000 -9999.00000000    42.74317932
  8000 -9999.00000000 -9999.00000000    42.34774780
 10000 -9999.00000000 -9999.00000000   113.21975708
 10000 -9999.00000000 -9999.00000000    83.99554443
 10000 -9999.00000000 -9999.00000000    84.72540283
 10000 -9999.00000000 -9999.00000000    88.07525635
