N M1 M2 M3
    10     0.00000300     0.00000200     0.00000100
    10     0.00000100     0.00000200     0.00000200
    10     0.00000100     0.00000200     0.00000100
    10     0.00000100     0.00000200     0.00000200
   100     0.00159800     0.00136200     0.00042400
   100     0.00162900     0.00142900     0.00025100
   100     0.00167200     0.00156900     0.00031900
   100     0.00173400     0.00139500     0.00024300
   500     0.19582899     0.15742598     0.00927898
   500     0.16778401     0.22352803     0.01091796
   500     0.19616902     0.18777299     0.00982499
   500     0.21726096     0.25338805     0.01110995
   800     0.82360911     0.80344391     0.03857708
   800     0.65245676     0.64585114     0.03754997
   800     0.70434380     0.68715096     0.04800129
   800     0.64949369     0.72638273     0.03698683
  1000     1.29829693     1.25920868     0.06262875
  1000     1.28516960     1.28670788     0.06768990
  1000     1.32569122     1.23600006     0.08997822
  1000     1.31077385     1.21461868     0.07078552
  1500     7.75608253     4.47552109     0.19463348
  1500     9.21776390     4.70342636     0.21127319
  1500     9.62586594     4.54587555     0.22157288
  1500     9.46614075     4.61456299     0.21617889
  2000    51.97360229    12.18972778     0.50630188
  2000    51.83433533    11.64663696     0.55113220
  2000    57.49670410    12.51669312     0.73898315
  2000    52.03863525    11.57266235     0.60882568
  2500   121.24359131    22.95852661     0.94955444
  2500   126.89932251    22.70306396     1.05041504
  2500   126.78643799    23.57537842     1.03369141
  2500   126.87139893    22.69738770     0.97436523
  4000     -9999.0     -9999.0     4.42476177
  4000     -9999.0     -9999.0     3.99825001
  4000     -9999.0     -9999.0     3.99875069
  4000     -9999.0     -9999.0     3.89783573
  5000     -9999.0     -9999.0     7.98363304
  5000     -9999.0     -9999.0     7.67160034
  5000     -9999.0     -9999.0     8.04894638
  5000     -9999.0     -9999.0    10.87046814
  6000     -9999.0     -9999.0    17.72997665
  6000     -9999.0     -9999.0    17.79010010
  6000     -9999.0     -9999.0    17.98241425
  6000     -9999.0     -9999.0    16.90419006
 10000 -9999.00000000 -9999.00000000    71.72378540
 10000 -9999.00000000 -9999.00000000    74.64172363
 10000 -9999.00000000 -9999.00000000    81.95828247
 10000 -9999.00000000 -9999.00000000    64.38429260
  8000 -9999.00000000 -9999.00000000    36.83441544
  8000 -9999.00000000 -9999.00000000    32.64570236
  8000 -9999.00000000 -9999.00000000    31.93105316
  8000 -9999.00000000 -9999.00000000    32.58369446
